[07.05.2026 15:51:24] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[07.05.2026 15:53:17] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[07.05.2026 15:56:31] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[07.05.2026 15:58:10] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[07.05.2026 16:02:58] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[07.05.2026 16:04:27] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[07.05.2026 16:07:34] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[07.05.2026 16:10:07] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[07.05.2026 16:23:12] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[07.05.2026 16:27:03] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[07.05.2026 16:29:37] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[07.05.2026 16:30:47] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[07.05.2026 16:33:43] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[07.05.2026 16:39:03] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[07.05.2026 16:44:02] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[07.05.2026 16:47:41] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[07.05.2026 16:58:03] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 08:43:41] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 08:48:15] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 09:07:25] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 09:11:12] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 09:14:46] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 09:17:35] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 09:21:31] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 09:24:49] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 09:30:58] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 10:42:24] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 11:07:11] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 11:40:04] User: admin, Match: True, Upgrade: True, HashStart: v3:h7XAfeq
[08.05.2026 11:40:59] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 13:48:40] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 14:21:59] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 14:25:08] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 14:26:02] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 14:27:56] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 14:28:52] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 14:30:06] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 14:48:48] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 14:49:44] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 14:50:10] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 14:50:52] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 14:51:28] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 14:51:58] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
[08.05.2026 14:53:48] User: admin, Match: True, Upgrade: False, HashStart: v4:15Y224U
